Дата,Программа,Упражнение,Подход,"Вес, кг",Повторения
07.08.2026,День 1 - Грудь + Трицепс,Жим штанги лежа,1,30,12
07.08.2026,День 1 - Грудь + Трицепс,Жим штанги лежа,2,30,12
07.08.2026,День 1 - Грудь + Трицепс,Жим штанги лежа,3,40,12
07.08.2026,День 1 - Грудь + Трицепс,Жим штанги лежа,4,50,8
07.08.2026,День 1 - Грудь + Трицепс,Жим гантелей под углом 30-40°,1,12.5,12
07.08.2026,День 1 - Грудь + Трицепс,Жим гантелей под углом 30-40°,2,12.5,12
07.08.2026,День 1 - Грудь + Трицепс,Жим гантелей под углом 30-40°,3,12.5,12
07.08.2026,День 1 - Грудь + Трицепс,Жим гантелей под углом 30-40°,4,12.5,12
07.08.2026,День 1 - Грудь + Трицепс,Сведение рук в тренажере,1,36,12
07.08.2026,День 1 - Грудь + Трицепс,Сведение рук в тренажере,2,36,12
07.08.2026,День 1 - Грудь + Трицепс,Сведение рук в тренажере,3,36,12
07.08.2026,День 1 - Грудь + Трицепс,Сведение рук в тренажере,4,36,12
07.08.2026,День 1 - Грудь + Трицепс,Разгибание гантели из-за головы,1,12.5,12
07.08.2026,День 1 - Грудь + Трицепс,Разгибание гантели из-за головы,2,12.5,12
07.08.2026,День 1 - Грудь + Трицепс,Разгибание гантели из-за головы,3,12.5,12
07.08.2026,День 1 - Грудь + Трицепс,Разгибание гантели из-за головы,4,12.5,12
07.08.2026,День 1 - Грудь + Трицепс,Разгибание рук на блоке с прямой рукоятью,1,40,12
07.08.2026,День 1 - Грудь + Трицепс,Разгибание рук на блоке с прямой рукоятью,2,40,12
07.08.2026,День 1 - Грудь + Трицепс,Разгибание рук на блоке с прямой рукоятью,3,40,12
07.08.2026,День 1 - Грудь + Трицепс,Разгибание рук на блоке с прямой рукоятью,4,40,12
10.08.2026,День 2 - Спина + Бицепс,Тяга верхнего блока широким хватом к груди,1,35,12
10.08.2026,День 2 - Спина + Бицепс,Тяга верхнего блока широким хватом к груди,2,35,12
10.08.2026,День 2 - Спина + Бицепс,Тяга верхнего блока широким хватом к груди,3,35,12
10.08.2026,День 2 - Спина + Бицепс,Тяга верхнего блока широким хватом к груди,4,35,12
10.08.2026,День 2 - Спина + Бицепс,Тяга горизонтального блока с V-образной рукоятью,1,30,12
10.08.2026,День 2 - Спина + Бицепс,Тяга горизонтального блока с V-образной рукоятью,2,30,12
10.08.2026,День 2 - Спина + Бицепс,Тяга горизонтального блока с V-образной рукоятью,3,30,12
10.08.2026,День 2 - Спина + Бицепс,Тяга горизонтального блока с V-образной рукоятью,4,30,12
10.08.2026,День 2 - Спина + Бицепс,Подьем штанги на бицепс стоя,1,12,12
10.08.2026,День 2 - Спина + Бицепс,Подьем штанги на бицепс стоя,2,12,12
10.08.2026,День 2 - Спина + Бицепс,Подьем штанги на бицепс стоя,3,12,12
10.08.2026,День 2 - Спина + Бицепс,Подьем штанги на бицепс стоя,4,12,12
10.08.2026,День 2 - Спина + Бицепс,Молотки,1,7.5,12
10.08.2026,День 2 - Спина + Бицепс,Молотки,2,7.5,12
10.08.2026,День 2 - Спина + Бицепс,Молотки,3,7.5,12
10.08.2026,День 2 - Спина + Бицепс,Молотки,4,7.5,12
11.08.2026,День 3 - Ноги + Плечи,Разгибание ног сидя,1,36,12
11.08.2026,День 3 - Ноги + Плечи,Разгибание ног сидя,2,36,12
11.08.2026,День 3 - Ноги + Плечи,Разгибание ног сидя,3,36,12
11.08.2026,День 3 - Ноги + Плечи,Разгибание ног сидя,4,36,12
